Window Schedule 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Construction Type,Cost,Count,Description,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Family Thumbnail,Finish,Glazing Thickness,Glazing Type,Head,Head Height,Heat Transfer Coefficient (U),Height,IFC Predefined Type,IfcGUID,Image,Jamb,Keynote,Level,Manufacturer,Mark,Material,Model,Operation,Phase Created,Phase Demolished,Rough Height,Rough Width,Sill,Sill Height,Solar Heat Gain Coefficient,Thermal Resistance (R),Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Visual Light Transmittance,Width
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,8' - 7",,6' - 4",,04b3cqL6T7nASkHPv$nor8,,,,L5,,173,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 3",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,8' - 7",,6' - 4",,04b3cqL6T7nASkHPv$norC,,,,L5,,174,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 3",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,9' - 11",,6' - 4",,04b3cqL6T7nASkHPv$nohz,,,,L3,,184,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,3' - 7",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,9' - 11",,6' - 4",,04b3cqL6T7nASkHPv$nog1,,,,L3,,185,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,3' - 7",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,9' - 3",,6' - 4",,04b3cqL6T7nASkHPv$nogA,,,,L4,,186,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 11",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,9' - 3",,6' - 4",,04b3cqL6T7nASkHPv$nogE,,,,L4,,187,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 11",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,9' - 11",,6' - 4",,04b3cqL6T7nASkHPv$nogN,,,,L3,,169,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,3' - 7",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,9' - 11",,6' - 4",,04b3cqL6T7nASkHPv$nogR,,,,L3,,170,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,3' - 7",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,9' - 3",,6' - 4",,04b3cqL6T7nASkHPv$nogS,,,,L4,,171,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 11",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,9' - 3",,6' - 4",,04b3cqL6T7nASkHPv$nogW,,,,L4,,172,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 11",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
