Duct Fitting Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Cost,Count,Critical Path,Description,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Free Size,IFC Predefined Type,IfcGUID,Image,Insulation Thickness,Insulation Type,Keynote,Level,Lining Thickness,Lining Type,Manufacturer,Mark,Model,Overall Size,Phase Created,Phase Demolished,Size,System Abbreviation,System Classification,System Name,System Type,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Volume
,,,,23.75.70.14,,,,1,No,,8' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSG,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,No,,8' - 3",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nS2,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,No,,9' - 1 1/16",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nT_,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,8' - 3",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nT6,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,9' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nT2,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,9' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nQ_,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,9' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nQy,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,9' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nQw,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,8' - 3",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nQs,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,8' - 3",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nQo,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,9' - 2",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nQk,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,9' - 2",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nQg,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,8' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nQc,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,8' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nQY,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 22,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
0 SF,,,,23.75.70.14,,,,1,Yes,,8' - 1 5/16",,,,By Type,,Default,,Rectangular to Round Transition - Angle,Rectangular to Round Transition - Angle: 45 Degree,6"x6"-6"ø,,0d1xlIsmn0D9DcDwK83nLR,,0",,,L2,0",,,,,6"x6"-6"ø,New Construction,None,6"x6"-6"ø,,Supply Air,Mechanical Supply Air 2,Supply Air,45 Degree,,,1qeKH8MwjCTgLkTOQ9aZBE,,,,0.03 CF
0 SF,,,,23.75.70.14,,,,1,Yes,,9' - 6 5/32",,,,By Type,,Default,,Round Transition - Angle,Round Transition - Angle: 45 Degree,8"ø-6"ø,,0d1xlIsmn0D9DcDwK83nc3,,0",,,L2,0",,,,,8"ø-6"ø,New Construction,None,8"ø-6"ø,,Return Air,Mechanical Return Air 3,Return Air,45 Degree,,,1qeKH8MwjCTgLkTOQ9aX93,,,,0.05 CF
,,,,23.75.70.14,,,,1,No,,0' - 6",,,,By Type,,Default,,Rectangular Endcap,Rectangular Endcap: Standard,14"x4",,0d1xlIsmn0D9DcDwK83nr7,,0",,,L2,0",,,,,14"x4",New Construction,None,14"x4",,Return Air,Mechanical Return Air 3,Return Air,Standard,,,1qeKH8MwjCTgLkTOQ9aimU,,,,0.03 CF
1 SF,,,,23.75.70.14,,,,1,Yes,,8' - 2 1/2",,,,By Type,,Default,,Rectangular to Round Transition - Angle,Rectangular to Round Transition - Angle: 60 Degree,14"x4"-6"ø,,0d1xlIsmn0D9DcDwK83noR,,0",,,L2,0",,,,,14"x4"-6"ø,New Construction,None,14"x4"-6"ø,,Return Air,Mechanical Return Air 3,Return Air,60 Degree,,,1qeKH8MwjCTgLkTOQ9aZBG,,,,0.18 CF
,,,,23.75.70.14,,,,1,No,,8' - 3 11/32",,,,By Type,,Default,,Rectangular Elbow - Mitered,Rectangular Elbow - Mitered: Standard,4"x24"-4"x24",,0d1xlIsmn0D9DcDwK83sFp,,0",,,L2,0",,,,,4"x24"-4"x24",New Construction,None,4"x24"-4"x24",,Supply Air,Mechanical Supply Air 2,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9ajN_,,,,0.33 CF
,,,,23.75.70.14,,,,1,No,,10' - 0 11/32",,,,By Type,,Default,,Rectangular Endcap,Rectangular Endcap: Standard,24"x4",,0d1xlIsmn0D9DcDwK83sFV,,0",,,L2,0",,,,,24"x4",New Construction,None,24"x4",,Supply Air,Mechanical Supply Air 2,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aimU,,,,0.06 CF
,,,,23.75.70.14,,,,1,No,,8' - 3 11/32",,,,By Type,,Default,,Rectangular Elbow - Mitered,Rectangular Elbow - Mitered: Standard,4"x24"-4"x24",,0d1xlIsmn0D9DcDwK83sFC,,0",,,L2,0",,,,,4"x24"-4"x24",New Construction,None,4"x24"-4"x24",,Supply Air,Mechanical Supply Air 2,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9ajN_,,,,0.33 CF
